Customer_Name,Date,Review
William,03/04/2022,Super duper tasty!
Bart,31/03/2022,"This is the first time I’ve ordered from this restaurant and having read the reviews, my experience was excellent. Great quality of food, hot, decent portions and arrived on time. Thank you and I will be ordering again!"
Xin,29/03/2022,The food wasn't bad but didn't taste as good as Red Onion.
sagar,26/03/2022,"I ordered 4 dishes totalling £24 , didn't even received any salad and a smashed pappadom which I paid for. Appalling"
Bee,20/03/2022,"First time ordering, great food and really authentic. Had Balti Butter which was amazing, one of the best curries I’ve had in a while! Will definitely be going back again"
Dean,15/03/2022,"Really not nice throw in the bin , never ordering from here again , tasted like jar food like from supermarket .. and before dilwar comments back saying it's fresh it's really not compared the korma to a jar I had from local discount supermarket and it was exactly the same consistently. People buy from you cause they want made from strach not shop bought jars . What a waste of time and money"
Hagi,09/03/2022,None
Olorunda,20/02/2022,None
David,19/02/2022,None
Christopher,18/02/2022,None
Wallaa,30/01/2022,None
Hollie,28/01/2022,None
Laura,25/01/2022,None
mevish,21/01/2022,None
Mike,19/01/2022,None
Stephanie,15/01/2022,None
Jenna,13/01/2022,None
Patricia,01/01/2022,"Awful food, sauces all runny and sour, completely ruined other dishes on the plate has to throw it all. Restaurant unhelpful and  refused to let me take the food back and directed me to complain to just eat which I have. Also have to pay out for food somewhere else for family visiting. Very poor, will not use again!"
Kevin,31/12/2021,None
Raz,23/12/2021,None
Anthony,23/12/2021,
Maria,16/12/2021,None
Sandra,04/12/2021,Lovely
Colin,04/12/2021,None
Shaun,01/12/2021,None
Rachel,27/11/2021,Consistently amazing food and the most delicious samosas.
Laura,25/11/2021,None
Kayleigh,24/11/2021,amazing food - thank you
shaun,20/11/2021,None
Wayne,20/11/2021,"Absolutely the worst Indian takeaway I think I’ve ever had!!
Tasteless, dry, overcooked, soggy, RIDICULOUS amount of salt. The whole lot went in the bin after we all tasted it and agreed it was terrible. Does the chef actually taste anything as he cooks it?? No way I’d recommend this to anyone."
Wayne,20/11/2021,"Absolutely the worst Indian takeaway I think I’ve ever had!!
Tasteless, dry, overcooked, soggy, RIDICULOUS amount of salt. The whole lot went in the bin after we all tasted it and agreed it was terrible. Does the chef actually taste anything as he cooks it?? No way I’d recommend this to anyone."
Simon,11/11/2021,None
Ethan,10/11/2021,None
Maria,08/11/2021,None
Swetha,31/10/2021,"Food was well packed and delivered on time.
quality was great."
Olivia,29/10/2021,None
Faisal,27/10/2021,Helpful staffs and so kind. Kudos 👏🏼👏🏼👏🏼
Alex,23/10/2021,"Food quality was great, they did forget my salad but its not the end of the world as it was early and nice and hot!"
Jenna,22/10/2021,None
Austen,09/10/2021,"Gave them a try as the one I usually use for the last few years have gone a bit oily. Everything lovely, nice thick sauce and all as ordered."
Trinea,04/10/2021,None
Jen,17/09/2021,"Delicious, on time and good value."
Rashpal,11/09/2021,None
Semiramis,11/09/2021,None
Maria,11/09/2021,None
Jogeswar,04/09/2021,None
Iffat,30/08/2021,"Really great home made tasting food, great service."
Lija,26/08/2021,The chicken tikka delivered yesterday was too salty. I couldn’t eat it even after washing the chicken. I’m very disappointed. The biriyani was descent
